0.0869;0.0869;10.4738
0.1649;0.078;7.3488
0.2661;0.1012;4.2352
0.5271;0.261;13.4713
0.6162;0.0891;1.8708
0.6361;0.0199;7.162
0.6529;0.0168;6.6844
0.8164;0.1635;6.69
1.0124;0.196;2.1752
1.0838;0.0714;6.5356
1.1395;0.0557;2.7195
1.2488;0.1093;1.8275
1.4463;0.1975;1.3276
1.453;0.0067;13.7068
1.7655;0.3125;1.9263
2.0464;0.2809;3.8833
2.2904;0.244;1.3202
2.5145;0.2241;3.4119
2.5741;0.0596;0.1604
2.6436;0.0695;1.4986
3.013;0.3694;1.0522
3.0219;0.0089;1.6161
3.0615;0.0396;3.7234
3.0995;0.038;3.3131
3.4443;0.3448;35.2434
3.4631;0.0188;2.563
3.4716;0.0085;3.5835
3.4736;0.002;0.9067
3.4926;0.019;2.8278
3.5228;0.0302;1.1538
3.6061;0.0833;4.7988
3.8221;0.216;11.3074
3.9371;0.115;7.0845
4.1884;0.2513;2.2411
4.6231;0.4347;0.8507
4.6309;0.0078;21.2785
4.7809;0.15;39.3435
4.9333;0.1524;5.2716
5.0708;0.1375;1.658
5.166;0.0952;16.192
5.2202;0.0542;2.5079
5.6802;0.46;2.8502
5.7017;0.0215;11.7064
5.7744;0.0727;1.0984
5.7941;0.0197;0.6056
5.9261;0.132;7.2068
6.027;0.1009;7.0586
6.3913;0.3643;5.1341
6.6077;0.2164;7.8006
6.6591;0.0514;14.356
6.7974;0.1383;12.7779
6.8108;0.0134;2.5716
7.0778;0.267;10.8108
7.0793;0.0015;5.5693
7.1563;0.077;2.7461
7.1997;0.0434;1.3414
7.1998;0.0001;9.1226
7.3555;0.1557;3.2169
7.4656;0.1101;4.8801
7.5614;0.0958;2.0356
7.5951;0.0337;0.9246
7.6202;0.0251;5.5597
7.9077;0.2875;4.3582
8.1234;0.2157;16.2132
8.2512;0.1278;10.7181
8.6099;0.3587;13.9298
8.6912;0.0813;2.1312
8.8276;0.1364;1.7532
9.045;0.2174;1.2396
9.2407;0.1957;7.8111
